id,rule_id,original_rule_id,xPath,parent,realName,ECA,operator,nextOperator,value,completeName
0,0,704977266,user/position/timeInsideARoom/@timeInsideBathroom,timeinsidearoom,timeinsidebathroom,condition,more,NEXTOPERATOR,30,timeinsidearoom-timeinsidebathroom
1,0,704977266,Alarms,alarms,alarms,action,OPERATOR,NEXTOPERATOR,Alarm,alarms-alarms
2,1,419000676,environment/currentWeather/@weatherIcon,currentweather,weathericon,condition,equal,NEXTOPERATOR,Sun,currentweather-weathericon
3,1,419000676,Reminders,reminders,reminders,action,OPERATOR,NEXTOPERATOR,The sun is shining. Please go outside.,reminders-reminders
4,2,713172375,user/position/relativePosition/@typeOfProximity,relativeposition,typeofproximity,TRIGGER,equal,and,INSIDE,relativeposition-typeofproximity
5,2,713172375,user/position/relativePosition/@pointOfInterest,relativeposition,pointofinterest,TRIGGER,equal,and,BATHROOM,relativeposition-pointofinterest
6,2,713172375,applianceState/Bathroom/allLight,bathroom,alllight,action,OPERATOR,NEXTOPERATOR,invokeFunctions:changeApplianceState,bathroom-alllight
7,3,77241990,user/physiological/@steps,physiological,steps,condition,less,NEXTOPERATOR,5000,physiological-steps
8,3,77241990,Reminders,reminders,reminders,action,OPERATOR,NEXTOPERATOR,Exercises on the treadmill,reminders-reminders
9,4,1907121792,environment/@lightLevel,livingroom,lightlevel,event,equal,NEXTOPERATOR,LOW_LIGHT,livingroom-lightlevel
10,4,1907121792,applianceState/LivingRoom/lightColor,livingroom,hue color light living room,action,OPERATOR,NEXTOPERATOR,update:lightColor,livingroom-hue color light living room
11,5,905189230,technology/light/@state,greatluminaire,state,condition,equal,NEXTOPERATOR,OFF,greatluminaire-state
12,5,905189230,applianceState/Kitchen/lightColor,kitchen,hue color light kitchen,action,OPERATOR,NEXTOPERATOR,custom:lightColor,kitchen-hue color light kitchen
13,6,851168453,environment/dateTime/@localTime,datetime,localtime,event,equal,NEXTOPERATOR,15:22,datetime-localtime
14,6,851168453,Reminders,reminders,reminders,action,OPERATOR,NEXTOPERATOR,"You haven't played with Kwido in a long time, try playing a game!",reminders-reminders
15,7,99199286,environment/dateTime/@localTime,datetime,localtime,event,equal,NEXTOPERATOR,14:52,datetime-localtime
16,7,99199286,Reminders,reminders,reminders,action,OPERATOR,NEXTOPERATOR,Remember to take aspirin,reminders-reminders
17,7,99199286,applianceState/LivingRoom/lightColor,livingroom,hue color light living room,action,OPERATOR,NEXTOPERATOR,update:lightColor,livingroom-hue color light living room
18,8,1105527972,user/cognitive/@trainingTime,cognitive,trainingtime,condition,equal,NEXTOPERATOR,30,cognitive-trainingtime
19,8,1105527972,Alarms,alarms,alarms,action,OPERATOR,NEXTOPERATOR,You can stop doing the exercises,alarms-alarms
20,9,2007374019,user/activity/@medicationName,activity,medicationname,condition,equal,NEXTOPERATOR,Dobetin and Lampard,activity-medicationname
21,9,2007374019,Alarms,alarms,alarms,action,OPERATOR,NEXTOPERATOR,Dobetin and Lampard ,alarms-alarms
22,10,462892822,user/activity/@medicationName,activity,medicationname,condition,equal,NEXTOPERATOR,Cardicor ,activity-medicationname
23,10,462892822,Alarms,alarms,alarms,action,OPERATOR,NEXTOPERATOR,Take the evening Cardicor ,alarms-alarms
24,11,1409254731,user/activity/@medicationName,activity,medicationname,condition,equal,NEXTOPERATOR,Provisacor,activity-medicationname
25,11,1409254731,Alarms,alarms,alarms,action,OPERATOR,NEXTOPERATOR,Take the evening Provisacor ,alarms-alarms
